texto,categoria
O servidor Apache está com 100% CPU,Infraestrutura
Disco cheio no servidor AWS Linux,Infraestrutura
Token MFA inválido para o Slack,Acesso
Não consigo logar na VPN,Acesso
Disco cheio no servidor Azure DB,Infraestrutura
Não consigo logar na VPN,Acesso
Mouse parou de funcionar na estação do 2º andar,Hardware
Instalar o VS Code na minha máquina,Software
Instalar o Teams na minha máquina,Software
Token MFA inválido para o AD,Acesso
Erro 500 na API de Auth,Infraestrutura
Alta latência na Rota do Firewall,Infraestrutura
Disco cheio no servidor AWS Linux,Infraestrutura
Não consigo logar na VPN,Acesso
Preciso de permissão de admin no Jira,Acesso
Preciso de permissão de admin no Salesforce,Acesso
O Excel fecha sozinho ao abrir,Software
Esqueci minha senha do Slack,Acesso
Tela azul ao abrir o Docker Desktop,Software
Meu monitor não liga,Hardware
Notebook superaquecendo,Hardware
Notebook superaquecendo,Hardware
O Teams fecha sozinho ao abrir,Software
Meu monitor não liga,Hardware
Tela azul ao abrir o Excel,Software
Preciso de permissão de admin no Slack,Acesso
Erro 500 na API de Logística,Infraestrutura
Não consigo logar na VPN,Acesso
Tela azul ao abrir o Teams,Software
Token MFA inválido para o Email,Acesso
Mouse parou de funcionar na estação do 2º andar,Hardware
Não consigo logar na VPN,Acesso
O servidor Tomcat reiniciou sozinho,Infraestrutura
Meu monitor não liga,Hardware
Disco cheio no servidor Azure DB,Infraestrutura
Token MFA inválido para o Email,Acesso
Preciso de um novo headset,Hardware
Preciso de um novo headset,Hardware
Preciso de um novo headset,Hardware
O servidor Nginx está com 100% CPU,Infraestrutura
Notebook superaquecendo,Hardware
Bloqueio de conta no Jira,Acesso
O cluster Kubernetes do Logística caiu,Infraestrutura
Preciso de permissão de admin no Slack,Acesso
Atualizar versão do VS Code,Software
Esqueci minha senha do AD,Acesso
Atualizar versão do Excel,Software
Instalar o VS Code na minha máquina,Software
O Excel fecha sozinho ao abrir,Software
Meu monitor não liga,Hardware
Erro de licença no VS Code,Software
Token MFA inválido para o Email,Acesso
Mouse parou de funcionar na estação da diretoria,Hardware
Preciso de permissão de admin no Email,Acesso
Tela azul ao abrir o VS Code,Software
Bloqueio de conta no Jira,Acesso
O Docker Desktop fecha sozinho ao abrir,Software
Preciso de permissão de admin no Jira,Acesso
Alta latência na VLAN 10,Infraestrutura
O Docker Desktop fecha sozinho ao abrir,Software
O servidor Tomcat reiniciou sozinho,Infraestrutura
Erro de licença no Photoshop,Software
Token MFA inválido para o Salesforce,Acesso
Meu monitor não liga,Hardware
Token MFA inválido para o Slack,Acesso
Mouse parou de funcionar na estação da diretoria,Hardware
Meu monitor não liga,Hardware
Token MFA inválido para o AD,Acesso
Meu monitor não liga,Hardware
Esqueci minha senha do AD,Acesso
Disco cheio no servidor Nginx,Infraestrutura
Token MFA inválido para o Salesforce,Acesso
A impressora do 2º andar está travada,Hardware
Preciso de um novo headset,Hardware
Preciso de permissão de admin no Salesforce,Acesso
O Photoshop fecha sozinho ao abrir,Software
Alta latência na Subnet de Produção,Infraestrutura
Bloqueio de conta no AD,Acesso
Mouse parou de funcionar na estação do financeiro,Hardware
Alta latência na Conexão Wi-Fi,Infraestrutura
Atualizar versão do VS Code,Software
Esqueci minha senha do Email,Acesso
Mouse parou de funcionar na estação do 2º andar,Hardware
Token MFA inválido para o Salesforce,Acesso
O Teams fecha sozinho ao abrir,Software
Bloqueio de conta no Jira,Acesso
Alta latência na Rota do Firewall,Infraestrutura
Preciso de um novo headset,Hardware
Meu monitor não liga,Hardware
Mouse parou de funcionar na estação da diretoria,Hardware
Instalar o Photoshop na minha máquina,Software
O cluster Kubernetes do Relatórios caiu,Infraestrutura
Token MFA inválido para o Jira,Acesso
Notebook superaquecendo,Hardware
Preciso de permissão de admin no Jira,Acesso
Alta latência na Conexão Wi-Fi,Infraestrutura
Instalar o Excel na minha máquina,Software
Mouse parou de funcionar na estação do financeiro,Hardware
O Teams fecha sozinho ao abrir,Software
Não consigo logar na VPN,Acesso
Não consigo logar na VPN,Acesso
Esqueci minha senha do AD,Acesso
Erro 500 na API de Pagamento,Infraestrutura
Mouse parou de funcionar na estação do 2º andar,Hardware
A impressora do 2º andar está travada,Hardware
O cluster Kubernetes do Auth caiu,Infraestrutura
Erro 500 na API de Relatórios,Infraestrutura
A impressora do 2º andar está travada,Hardware
Bloqueio de conta no Email,Acesso
Atualizar versão do VS Code,Software
Disco cheio no servidor Tomcat,Infraestrutura
Instalar o Docker Desktop na minha máquina,Software
O cluster Kubernetes do Pagamento caiu,Infraestrutura
Bloqueio de conta no Slack,Acesso
Bloqueio de conta no Slack,Acesso
O cluster Kubernetes do Relatórios caiu,Infraestrutura
Preciso de permissão de admin no AD,Acesso
Tela azul ao abrir o Teams,Software
Esqueci minha senha do Slack,Acesso
Mouse parou de funcionar na estação da diretoria,Hardware
Meu monitor não liga,Hardware
A impressora da recepção está travada,Hardware
Notebook superaquecendo,Hardware
